Timestamp,TP9_b,TP9_t,TP9_a,TP9_d,AF7_b,AF7_t,AF7_a,AF7_d,AF8_b,AF8_t,AF8_a,AF8_d,TP10_b,TP10_t,TP10_a,TP10_d
1645344930.431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0009731308091431856,0.0029438280034810305,0.00397325586527586,0.018308619037270546,0.008258145302534103,0.008252560161054134,0.016098428517580032,0.08012069761753082
1645344930.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012186269741505384,0.0031539304181933403,0.003922667354345322,0.01802973635494709,0.003055752022191882,0.009454122744500637,0.014871503226459026,0.0804663673043251
1645344930.671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010825165081769228,0.001910113263875246,0.0031228861771523952,0.017119767144322395,0.007062398362904787,0.008541211485862732,0.023084979504346848,0.08302251994609833
1645344930.812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016357424901798368,0.0024047500919550657,0.0032435173634439707,0.014204184524714947,0.0028197281062602997,0.008481566794216633,0.022031687200069427,0.06931594759225845
1645344930.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014213446993380785,0.0017287564696744084,0.0025248026940971613,0.01567024737596512,0.007510533556342125,0.00924189854413271,0.024937046691775322,0.06634990870952606
1645344931.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014275036519393325,0.002380035351961851,0.0025663520209491253,0.012060839682817459,0.006850907579064369,0.01011593360453844,0.023903723806142807,0.06355670094490051
1645344931.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013393781846389174,0.002246120013296604,0.002517184941098094,0.014888009987771511,0.010566599667072296,0.018855949863791466,0.02666408196091652,0.08250834792852402
1645344931.269,NaN,NaN,NaN,NaN,0.06927760690450668,0.14636877179145813,0.45986855030059814,1.7446284294128418,0.001961475471034646,0.0023609015624970198,0.0023906270507723093,0.011604836210608482,0.006490268278867006,0.013665333390235901,0.03508034348487854,0.08729501068592072
1645344931.433,NaN,NaN,NaN,NaN,0.07549668848514557,0.12365499883890152,0.4480939209461212,1.8026082515716553,0.001748400740325451,0.002356003038585186,0.0026439146604388952,0.015010630711913109,0.00842215958982706,0.019366532564163208,0.026525134220719337,0.10277274996042252
1645344931.574,0.049612268805503845,0.04099941626191139,0.039077647030353546,0.04761815443634987,NaN,NaN,NaN,NaN,0.0014199538854882121,0.0018007114995270967,0.0026446122210472822,0.01569713093340397,0.006761468015611172,0.012605216354131699,0.03692459687590599,0.10703150182962418
1645344931.653,0.03767649829387665,0.04781939461827278,0.036740511655807495,0.04924917221069336,0.12274003773927689,0.12179669737815857,0.4491591453552246,1.9216424226760864,0.0012094688136130571,0.0016494289739057422,0.002804318442940712,0.018204331398010254,0.007813266478478909,0.022530656307935715,0.03458357974886894,0.11967526376247406
1645344931.794,0.023802118375897408,0.045515529811382294,0.04251382499933243,0.07291528582572937,NaN,NaN,NaN,NaN,0.0009729306329973042,0.0016443788772448897,0.003810936352238059,0.019378704950213432,0.007853415794670582,0.019915319979190826,0.04772471636533737,0.13836027681827545
1645344931.929,0.018794959411025047,0.02260197512805462,0.038762934505939484,0.05988362058997154,NaN,NaN,NaN,NaN,0.0025374586693942547,0.0019196273060515523,0.0035361843183636665,0.02219158597290516,0.00863371416926384,0.023168575018644333,0.03667161241173744,0.13468420505523682
